date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:33	20278/20278	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2022:30:42%20GMT	https://form.jotform.com/222947341354053	C:/My%20Web%20Sites/001%20Final%20form/form.jotform.com/222947341354053.html	(from )
15:30:33	148/148	---MCZ	200	added ('OK')	text/plain	date:Sat,%2022%20Oct%202022%2022:30:43%20GMT	https://form.jotform.com/robots.txt		(from )
15:30:35	207477/207477	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202022%2017:10:54%20GMT	https://cdn01.jotfor.ms/themes/CSS/5e6b428acc8c4e222d1beb91.css?themeRevisionID=6310a6ad592c72439615db25	C:/My%20Web%20Sites/001%20Final%20form/cdn01.jotfor.ms/themes/CSS/5e6b428acc8c4e222d1beb91b8e5.css	(from https://form.jotform.com/222947341354053)
15:30:36	67533/67533	---MCZ	200	added ('OK')	text/css	etag:W/%2262f25660-107cd%22	https://cdn02.jotfor.ms/css/styles/payment/payment_styles.css?3.3.36567	C:/My%20Web%20Sites/001%20Final%20form/cdn02.jotfor.ms/css/styles/payment/payment_stylesf069.css	(from https://form.jotform.com/222947341354053)
15:30:37	21991/21991	---MCZ	200	added ('OK')	text/css	etag:W/%2262f25660-55e7%22	https://cdn03.jotfor.ms/css/styles/payment/payment_feature.css?3.3.36567	C:/My%20Web%20Sites/001%20Final%20form/cdn03.jotfor.ms/css/styles/payment/payment_featuref069.css	(from https://form.jotform.com/222947341354053)
15:30:37	129330/129330	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263546e61-1f932%22	https://cdn01.jotfor.ms/static/prototype.forms.js?3.3.36567	C:/My%20Web%20Sites/001%20Final%20form/cdn01.jotfor.ms/static/prototype.formsf069.js	(from https://form.jotform.com/222947341354053)
15:30:38	554467/554467	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263546e61-875e3%22	https://cdn02.jotfor.ms/static/jotform.forms.js?3.3.36567	C:/My%20Web%20Sites/001%20Final%20form/cdn02.jotfor.ms/static/jotform.formsf069.js	(from https://form.jotform.com/222947341354053)
15:30:39	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2022%20Oct%202022%2022:30:48%20GMT	https://www.jotform.com/uploads/devjameschidi/form_files/IMG_3572-removebg-preview.635469a12c89d1.25616529.png	C:/My%20Web%20Sites/001%20Final%20form/www.jotform.com/uploads/devjameschidi/form_files/IMG_3572-removebg-preview.635469a12c89d1.25616529.6.delayed	(from https://form.jotform.com/222947341354053)
15:30:40	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2022%20Oct%202022%2022:30:49%20GMT	https://www.jotform.com/uploads/devjameschidi/form_files/IMG_3572.63546dc5e68f26.61060502.JPG	C:/My%20Web%20Sites/001%20Final%20form/www.jotform.com/uploads/devjameschidi/form_files/IMG_3572.63546dc5e68f26.61060502.JPG	(from https://form.jotform.com/222947341354053)
15:30:41	286212/286212	---MC-	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2022:30:49%20GMT	https://files.jotform.com/jufs/devjameschidi/form_files/IMG_3572-removebg-preview.635469a12c89d1.25616529.png?md5=heIGwHN3uIybUIP6lK_xew&expires=1666477858	C:/My%20Web%20Sites/001%20Final%20form/files.jotform.com/jufs/devjameschidi/form_files/IMG_3572-removebg-preview.635469a12c89d1.25616529b075.png	(from https://form.jotform.com/222947341354053)
15:30:41	40887/40887	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2022%20Oct%202022%2022:30:50%20GMT	https://files.jotform.com/jufs/devjameschidi/form_files/IMG_3572.63546dc5e68f26.61060502.JPG?md5=8S6wBa-pt67hl1JL-tqmgQ&expires=1666477859	C:/My%20Web%20Sites/001%20Final%20form/files.jotform.com/jufs/devjameschidi/form_files/IMG_3572.63546dc5e68f26.61060502db4d.JPG	(from https://form.jotform.com/222947341354053)
15:30:42	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2022%20Oct%202022%2022:30:51%20GMT	https://www.jotform.com/uploads/devjameschidi/form_files/1b5c6a1f99acf9e8e2466f873e79a21a--jesus-photo-jason-momoa-removebg-preview.63546ee060a1e2.10382903.png	C:/My%20Web%20Sites/001%20Final%20form/www.jotform.com/uploads/devjameschidi/form_files/1b5c6a1f99acf9e8e2466f873e79a21a--jesus-photo-jason-momoa-removebg-preview.63546ee060a1e2.10382903.png	(from https://form.jotform.com/222947341354053)
